id,name,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
85,MASU,mixed,ultraveteran,23:19:01,280,0,finished,EST,Sulev,Kuiv,EST,Marje,Tobreluts,,,
174,Reserv,men,open,23:02:29,279,0,finished,EST,Kristian,Esula,EST,Kaspar,Aarna,,,
193,Metslased,mixed,veteran,23:01:44,278,0,finished,EST,Helge,Murutalu,EST,Jan,Aas,,,
184,Chasing will-o'-the-wisps,mixed,open,17:39:39,277,0,finished,LAT,Edgars,Zakis,LAT,Mara,Braslava,,,
95,KA2,women,ultraveteran,22:56:02,269,0,finished,LAT,Dace,Saulite,LAT,Sarmite,Vlodare,,,
34,Turbo,men,open,18:21:22,268,0,finished,LTU,Augustas,Gajauskas,LTU,Romanas,Vasiuninas,,,
144,Here for the food,men,youth,23:03:18,266,0,finished,GBR,Jacob,Tupper,GBR,George,Anderton,,,
79,Karuohakas,women,veteran,20:54:24,263,0,finished,EST,Mari,Punab,EST,Made,Vares,,,
175,HV Catalunya 1,men,veteran,21:06:53,255,0,finished,USA,Marc,Triquell,ESP,Daniel,Garolera,,,
210,M(A)O,men,youth,20:32:07,249,0,finished,EST,Ander,Pavlov,EST,Mikk,Rooden,,,
99,Hakuna matata,men,open,22:47:07,246,0,finished,LAT,Ints,Brunenieks,LAT,Rudolfs,Steinbergs,,,
1,Canucks,mixed,open,23:21:42,242,0,finished,CAN,Alistair,Howard,CAN,Lisa,Howard,,,
54,Mes ar putniem,women,veteran,23:26:43,241,0,finished,LAT,Gunta,Bluzma,LAT,Laura,Mazmaca,,,
112,Very Difficult Situation,men,open,18:36:10,238,0,finished,LAT,Janis,Stašans,LAT,Ilmars,Gaidelis,LAT,Edgars,Peics
114,XO Catalunya 2,mixed,open,22:39:27,238,0,finished,ESP,Laura,Escolà,ESP,Xavier,Carrera,ESP,Joan,Cartanya
106,MATRIX,women,superveteran,23:31:30,238,0,finished,LAT,Rota,Snuka,LAT,Anda,Lejasblusa,,,
178,L5,mixed,open,21:25:04,237,0,finished,LAT,Gunta,Nalivaiko,LAT,Peteris,Nalivaiko,,,
139,Sipelgapojad,mixed,superveteran,23:45:24,237,0,finished,LAT,Anita,Paidere,LAT,Juris,Paiders,,,
81,Puus ja Põlv,women,superveteran,23:16:26,236,0,finished,EST,Tiina,Kartau,EST,Esta,Tamm,,,
12,Kawe,men,veteran,19:31:50,217,0,finished,EST,Ago,Lauri,EST,Andres,Lõhmus,,,
113,WITaj Baby,women,superveteran,23:05:30,216,0,finished,CZE,Monika,Krejcíková,CZE,Alena,Vencovská,,,
141,Surikati,women,open,12:32:38,212,0,finished,LAT,Ieva,Upmace-Grivina,LAT,Elina,Petrovska,,,
102,RARA,women,superveteran,23:50:30,210,0,finished,EST,Ingrid,Ranna,EST,Ülle,Raudsepp,EST,Ellen,Lembra
41,HUNT,women,superveteran,23:12:20,209,0,finished,EST,Elina,Lasseron,EST,Rita,Ojala,,,
96,Sookurg,women,ultraveteran,21:21:22,204,0,finished,EST,Reet,Johanson,EST,Aili,Laanjõe,,,
19,Võts ja Triibik,mixed,superveteran,22:02:31,204,0,finished,EST,Indrek,Jentson,EST,Mare,Jentson,,,
215,Benamiai katinai,mixed,veteran,23:41:32,201,0,finished,LTU,Regimantas,Januškevicius,LTU,Asta,Januškeviciene,,,
167,Dnepr,women,youth,23:25:31,199,0,finished,UKR,Daria,Molokova,UKR,Yelyzaveta,Nadreha,,,
