name,gender,age,status,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
Havi käsul,men,ultraveteran,,0,23:52:02,130,209,EST,Aug,Paul,EST,Olju,Tiit,,,,,,
Tip ja Täp,women,open,,0,22:54:35,129,174,EST,Käärst,Kärt,EST,Lahesalu,Tiina,,,,,,
Evigun,women,open,,0,23:40:23,129,85,LAT,Dravniece,Gunita,LAT,Grinmane,Evija,,,,,,
Kati Kovacsi nimeline vanadekodu,men,veteran,,0,23:05:48,126,117,EST,Märtson,Matis,EST,Päärt,Villu,,,,,,
S.T.,mixed,veteran,,0,12:28:42,124,1,EST,Aan,Toomas,EST,Pärtel,Siret,,,,,,
ApPasaule O-Team,women,open,,0,23:18:47,124,226,LAT,Cimermane,Sigita,LAT,Gause,Evita,LAT,Liepiņa,Ligita,,,
Skispirit,men,open,,0,14:24:50,122,10,EST,Potter,Priit,EST,Saidla,Siim,,,,,,
SK Lejas Libiesi,men,open,,0,21:22:46,122,20,LAT,Spuns,Raivo,LAT,Sudars,Martins,,,,,,
Latgalian girls,women,veteran,,0,22:22:22,119,124,LAT,Poplavska,Olita,LAT,Utāne,Vija,,,,,,
Ma-sin,mixed,youth,,0,23:31:53,118,188,EST,Aavola,Heili,EST,Leissoo,Martin,,,,,,
Restart,women,open,,0,11:21:11,116,240,EST,Kaljur,Laura-Liis,EST,Kaljur,Mari-Liis,EST,Tali,Maie,,,
L5,mixed,open,,0,23:27:51,114,19,LAT,Nalivaiko,Gunta,LAT,Nalivaiko,Peteris,,,,,,
NEPALIKT PĒDĒJIEM!,mixed,open,,0,23:38:14,107,230,LAT,Līcīte,Signe,LAT,Ludzina,Ingrida,,,,,,
FOREST TIGERS,women,youth,,0,16:01:47,103,88,UKR,Kolmohorova,Adelaida,UKR,Yefimenkova,Alina,,,,,,
SI,women,open,,0,16:53:32,100,143,LAT,Levica,Sintija,LAT,Žīgure,Inese,,,,,,
Forest berries,women,veteran,,0,22:54:41,94,66,LAT,Alaine,Sintija,LAT,Celmiņa,Vizbulīte,,,,,,
FST Novorossiisk,mixed,veteran,,0,23:53:45,93,150,RUS,Gladkova,Svetlana,RUS,Selyuminov,Gennadii,,,,,,
Ežu taka,mixed,superveteran,,0,19:49:09,92,101,LAT,Eglītis,Jānis,LAT,Laure,Ilze,,,,,,
