id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname,member5country,member5firstname,member5lastname
19,men,open,23:31:33,3340,0,,NZL,Thomas,Hughes,NZL,George,Hedley,,,,,,,,,
20,men,open,22:29:59,2310,0,,AUS,Daniel,Johnston,AUS,Tim,Lusk,,,,,,,,,
21,men,open,23:50:32,4260,0,,NZL,Darron,Jones,NZL,Dave,Quested,,,,,,,,,
22,men,open,19:18:47,1000,0,,NZL,Lance,Knauf,NZL,Gustav,Kircher,,,,,,,,,
23,men,superveteran,18:08:44,1490,0,,NZL,Mondo,Kopua,NZL,David,Mangnall,,,,,,,,,
24,men,superveteran,23:31:22,2860,0,,NZL,John,Mckinnel,NZL,Kevin,Duggan,,,,,,,,,
25,men,open,22:50:33,2650,0,,NZL,Blake,McMillan,NZL,Jacob,Takuira-Mita,NZL,Cameron,Morriss,NZL,Mark,Lewis,,,
26,men,ultraveteran,19:05:38,1210,0,,AUS,Trevor,Merrifield,AUS,Andrew,McGowan,,,,,,,,,
27,men,veteran,23:18:54,3040,0,,NZL,Glen,Mitchell,NZL,Adrian,Braaksma,,,,,,,,,
28,men,youth,23:06:12,3460,0,,NZL,Fynn,Mitchell,NZL,Josh,Pearson,,,,,,,,,
29,men,superveteran,23:41:33,3200,0,,NZL,Monty,Montgomery,NZL,Robert,Harrow,,,,,,,,,
30,men,open,22:44:33,1230,0,,AUS,Geoff,Morrison,AUS,Sean,Morrison,,,,,,,,,
31,men,open,22:38:59,3550,0,,NZL,Jamie,Mountier,NZL,Tim,Sikma,,,,,,,,,
32,men,open,23:37:47,3600,0,,AUS,Mitch,Nissen,AUS,Calvin,Deacon,,,,,,,,,
33,men,veteran,22:21:25,2840,0,,AUS,Steve,O'Neill,AUS,Peter,Mitchell,AUS,Alan,Moore,,,,,,
34,men,youth,23:14:15,3110,0,,NZL,Fergus,O'Neill,NZL,Ryan,Moore,,,,,,,,,
35,men,open,14:46:36,1460,0,,AUS,Ben,O'Sullivan,AUS,Callum,Kingan,,,,,,,,,
36,men,open,20:07:11,2150,0,,AUS,Thomas,Paul,AUS,Max,Butchers,,,,,,,,,
37,men,veteran,23:16:48,2760,0,,AUS,Craig,Pelvin,AUS,Andrew,Lonie,,,,,,,,,
38,men,ultraveteran,22:19:30,1520,0,,AUS,Simon,Rea,AUS,Michael,Wood,AUS,Dick,Dinsdale,,,,,,
39,men,open,20:49:46,1520,0,,AUS,David,Rowlands,AUS,Alexander,Rowlands,,,,,,,,,
40,men,youth,18:55:30,1830,0,,AUS,Jack,Sandford,AUS,Simon,Tomkins,,,,,,,,,
41,men,open,23:34:56,3300,0,,NZL,David,Slater,NZL,Peter,Menis,,,,,,,,,
42,men,open,23:31:38,1440,0,,NZL,Dylan,Smedley,NZL,Arun,Murali,NZL,Tim,Bovaird,NZL,Jeevan,Haikerwal,,,
43,men,open,23:39:42,3740,0,,NZL,Nick,Smith,NZL,Scott,Smith,,,,,,,,,
44,men,veteran,21:20:35,2880,0,,NZL,Gary,Sutherland,NZL,Cint,Falla,,,,,,,,,
45,men,youth,21:01:01,780,0,,AUS,Brad,Thiele,AUS,Tom,Irvine,,,,,,,,,
46,men,open,23:29:08,3180,0,,NZL,Ev,Tolerton,NZL,Nathan,Harris,,,,,,,,,
47,men,veteran,22:08:54,3060,0,,NZL,Steve,Tripp,NZL,Chris,Taylor,,,,,,,,,
48,men,superveteran,23:05:57,1870,0,,AUS,Simon,Vandestadt,AUS,John,Evans,,,,,,,,,
49,men,open,23:37:06,4070,0,,NZL,Arran,Whiteford,NZL,Hamish,Laing,,,,,,,,,
50,men,veteran,23:32:19,3670,0,,NZL,Phil,Wood,NZL,Malcolm,Mcleod,,,,,,,,,
51,men,superveteran,23:39:05,2250,0,,AUS,Douglas,Woods,AUS,Colin,Dixon,,,,,,,,,
52,women,open,23:28:23,2240,0,,AUS,Lisa,Ainley,AUS,Genevieve,Leech,,,,,,,,,
53,women,open,23:20:13,1180,0,,AUS,Deb,Bain,AUS,Charlotte,Bain,,,,,,,,,
54,women,veteran,23:17:29,2140,0,,AUS,Tamsin,Barnes,AUS,Wendy,Riach,,,,,,,,,
55,women,superveteran,23:22:14,2510,0,,NZL,Jenni,Blyleven,NZL,Suzanne,McLister,,,,,,,,,
56,women,veteran,23:14:32,2170,0,,NZL,Chris,Dixon,NZL,Caroline,Elliott,,,,,,,,,
57,women,ultraveteran,23:04:14,1840,0,,AUS,Jean,Douglass,AUS,Peggy,Douglass,,,,,,,,,
58,women,veteran,23:20:18,2600,0,,NZL,Jo,Forbes,NZL,Antonia,Wood,NZL,Mary,McBride,,,,,,
59,women,open,22:45:56,2320,0,,AUS,Lisa,Haycock,AUS,Tui,Hambrook,AUS,Lauren,Assink,,,,,,
60,women,open,22:50:58,1800,0,,AUS,Chrissy,Hohe,AUS,Yvonne,Grosch,,,,,,,,,
61,women,open,21:05:51,1210,0,,AUS,Alex,Huffadine,AUS,Hilary,Pearson,,,,,,,,,
62,women,open,21:45:33,2080,0,,AUS,Claire,Le Grice,AUS,Megan,Farndale,,,,,,,,,
63,women,youth,22:17:47,1820,0,,AUS,Isabella,Lilford,AUS,Abby,Kidson,AUS,Chloe,Woodburn,,,,,,
64,women,open,21:27:00,1450,0,,AUS,Nicole,Owen,AUS,Sophie,Harrison,,,,,,,,,
65,women,open,21:42:07,2160,0,,AUS,Courtney,Prestage,AUS,Olivia,Hammond,,,,,,,,,
66,women,ultraveteran,22:31:23,1570,0,,NZL,Val,Rogers,NZL,Kathrin,Mueller,,,,,,,,,
67,women,open,17:56:22,2090,0,,AUS,Anna,Scheirlinck,AUS,Steph,Scheirlinck,,,,,,,,,
68,women,veteran,23:20:38,1890,0,,AUS,Rachel,Simons,AUS,Nicola,Mitchell,,,,,,,,,
69,women,open,22:15:54,1980,0,,AUS,Sarah,Smith,AUS,Megan,Brown,,,,,,,,,
70,women,open,23:23:58,3820,0,,NZL,Georgia,Whitla,NZL,Emily,Wilson,,,,,,,,,
71,women,veteran,22:25:32,1430,0,,AUS,Elizabeth,Woodgate,AUS,Fiona,Croft-Trollope,,,,,,,,,
72,mixed,veteran,22:12:31,640,0,,AUS,Shane,Ashley,AUS,Kelly,Ashley,,,,,,,,,
73,mixed,open,23:34:52,2440,0,,AUS,Dena,Bakkenes,AUS,Jacques,Bakkenes,,,,,,,,,
74,mixed,superveteran,23:19:53,2180,0,,AUS,Bruce,Barnett,AUS,Monika,Binder,,,,,,,,,
75,mixed,open,14:58:28,1170,0,,AUS,Starfish,Blake,AUS,Pipi,Rowden,AUS,Toheroa,Goldsmith,,,,,,
76,mixed,veteran,23:31:26,2690,0,,AUS,Simon,Bloomberg,AUS,Alice,Brice,,,,,,,,,
77,mixed,open,18:51:39,1470,0,,AUS,Alistair,Boyce,AUS,Sarah,Helmore,,,,,,,,,
78,mixed,youth,19:12:13,1390,0,,NZL,August,Brey,NZL,Gypsy,Cook,NZL,Darcy,Gay,NZL,Daniel,Harvey,NZL,Aidan,Soo
79,mixed,superveteran,23:22:48,1900,0,,AUS,Liz,Canning,AUS,Hugh,Fitzgerald,,,,,,,,,
80,mixed,ultraveteran,21:46:12,1370,0,,AUS,Sue,Clarke,AUS,Walter,Kelemen,,,,,,,,,
81,mixed,open,23:36:25,2240,0,,AUS,Hamish,Cotter,AUS,Sarah,Unwin,AUS,Tom,Logie,,,,,,
82,mixed,ultraveteran,23:13:21,2990,0,,NZL,Emma,de Lacey,NZL,Guy,de Lacey,,,,,,,,,
83,mixed,open,23:45:01,2920,0,,NZL,Nico,Dubois,NZL,Ira,Sizova,,,,,,,,,
84,mixed,open,22:45:28,1590,0,,AUS,Grant,Edmondson,AUS,Maya,Edmondson,,,,,,,,,
85,mixed,open,23:06:26,3000,0,,NZL,Roland,Eveleens,NZL,Kat,Holmes,,,,,,,,,
86,mixed,open,22:42:00,2790,0,,AUS,Robyn,Eyster,AUS,Teddy,Eyster,,,,,,,,,
87,mixed,open,23:53:40,3740,0,,NZL,Tim,Farrant,NZL,Mikko,Eklund,NZL,Molly,Spark,,,,,,
88,mixed,youth,22:29:52,2140,0,,AUS,Mia,Gordon,AUS,Dom,Cleary,,,,,,,,,
89,mixed,open,22:24:27,2820,0,,AUS,Christopher,Greenan,AUS,Lottie,Armstrong,,,,,,,,,
90,mixed,veteran,23:39:57,2770,0,,AUS,Paul,Guard,AUS,Sally,Lochhead,,,,,,,,,
91,mixed,veteran,22:32:37,2210,0,,AUS,Kaye,Harding,AUS,Richard,Spelman,,,,,,,,,
92,mixed,open,17:23:56,960,0,,AUS,William,Hart,AUS,Sarah,Graham,,,,,,,,,
93,mixed,superveteran,23:09:06,1200,0,,AUS,Ken,Livingston,AUS,Hube,Wichers,,,,,,,,,
94,mixed,veteran,22:04:04,1980,0,,AUS,Polly,Lock,AUS,Steve,Lock,,,,,,,,,
95,mixed,open,23:30:32,3460,0,,NZL,Rachel,Lynskey,NZL,Rob,Lei,,,,,,,,,
96,mixed,superveteran,23:03:52,1000,0,,AUS,Chris,Mansell,AUS,Celia,Fitzgerald,,,,,,,,,
97,mixed,veteran,23:20:06,2310,0,,AUS,Kirk,McDonald,AUS,Anita,Copplestone,,,,,,,,,
98,mixed,open,22:49:56,2790,0,,AUS,Jarrod,McLauchlan,AUS,Brooke,Thomas,,,,,,,,,
99,mixed,superveteran,22:10:52,1590,0,,AUS,Alister,Metherell,AUS,Louise,O'Connell,,,,,,,,,
100,mixed,veteran,18:20:16,1470,0,,AUS,Sarah,Millar,AUS,Hedley,Meacheam,,,,,,,,,
101,mixed,ultraveteran,22:23:58,1240,0,,AUS,Wayne,Millow,AUS,Liz,Millow,,,,,,,,,
102,mixed,open,21:24:08,2160,0,,AUS,Neil,Murray,AUS,Anya,Murray,,,,,,,,,
103,mixed,open,22:58:20,2020,0,,AUS,Will,Payne,AUS,Sarah,Hamilton,AUS,Matthew,Broad,,,,,,
104,mixed,veteran,23:30:35,2430,0,,AUS,Leon,Perrie,AUS,Lara,Shepherd,,,,,,,,,
105,mixed,veteran,23:17:57,3880,0,,AUS,Julie,Quinn,AUS,David,Baldwin,,,,,,,,,
106,mixed,open,21:45:39,1610,0,,AUS,Nicole,Ranger,AUS,Glen,Warner,,,,,,,,,
107,mixed,ultraveteran,23:23:55,2260,0,,AUS,Richard,Robinson,NZL,Vivienne,Prince,,,,,,,,,
108,mixed,open,18:18:33,2340,0,,NZL,Emma,Rogers,NZL,Dave,Hume,NZL,John,West,NZL,Mira,Schwill,NZL,Chris,McHarg+1
109,mixed,open,23:09:59,1860,0,,AUS,Brendon,Roxburgh,AUS,Joelle,Ward,,,,,,,,,
110,mixed,open,22:27:49,2120,0,,NZL,Jimmy,Sewell,NZL,Anna,Sewell,,,,,,,,,
111,mixed,superveteran,22:30:25,2490,0,,NZL,Mark,Struthers,NZL,Annette,Windross,,,,,,,,,
112,mixed,open,23:50:19,3450,0,,NZL,Angus,Watson,NZL,Grace,Seeley,,,,,,,,,
113,mixed,veteran,23:08:10,2310,0,,AUS,Mark,Watson,AUS,Michelle,Watson,AUS,Vicky,Sandford,,,,,,
114,mixed,veteran,23:05:33,2200,0,,AUS,Philip,Watson,AUS,Catherine,Watson,,,,,,,,,
115,mixed,superveteran,22:04:22,1220,0,,AUS,Brian,Wilson,AUS,Els,Coster,,,,,,,,,
116,mixed,youth,23:23:20,1390,0,,AUS,E Wen,Wong,AUS,Thomas,James,,,,,,,,,
117,mixed,veteran,23:14:48,1970,0,,AUS,Hadani,Woodruff,AUS,Matt,Hall,,,,,,,,,
