id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname,member5country,member5firstname,member5lastname
1,men,superveteran,22:17:09,1790,0,,AUS,Graham,Atkins,AUS,Clayton,Gumbrell,,,,,,,,,
2,men,open,23:27:50,2000,0,,AUS,Eamon,Barrett,AUS,Jackson,Jolly,,,,,,,,,
3,men,ultraveteran,23:14:43,2010,0,,NZL,Pat,Bodger,NZL,Steve,John,,,,,,,,,
4,men,ultraveteran,23:26:21,1590,0,,NZL,Andy,Buchanan,NZL,Dave,Laurie,,,,,,,,,
5,men,open,23:41:15,3240,0,,NZL,Barry,Burger,NZL,Louie,Burger,,,,,,,,,
6,men,veteran,21:01:44,1890,0,,NZL,Stephen,Busby,NZL,Callum,Irvine,NZL,Paul,Dukes,,,,,,
7,men,open,22:51:35,2660,0,,NZL,Peter,Cleary,NZL,Connor,Cleary,,,,,,,,,
8,men,veteran,23:52:34,2900,0,,NZL,Scott,Condron,NZL,Tim,Mulliner,,,,,,,,,
9,men,veteran,22:19:39,2820,0,,NZL,Dave,Cowie,NZL,Darren,Clay,,,,,,,,,
10,men,open,23:04:36,2320,0,,NZL,Terry,Davis,NZL,Ben,Wallbank,,,,,,,,,
11,men,superveteran,22:29:02,2310,0,,NZL,Richard,Dove,NZL,Simon,Lewis,,,,,,,,,
12,men,open,21:19:21,1270,0,,AUS,Martin,Etherington,AUS,Samuel,Etherington,,,,,,,,,
13,men,open,22:41:45,2530,0,,NZL,Graeme,Ewenson,NZL,Hayden,Ewenson,NZL,Alex,Watson,,,,,,
14,men,youth,22:48:28,2760,0,,NZL,Hamish,France,NZL,Adrian,France,NZL,Alex,Braun,NZL,Ben,Hay,,,
15,men,ultraveteran,22:31:28,2580,0,,NZL,Ross,Friedrich,NZL,Steve,Pyatt,,,,,,,,,
16,men,youth,19:36:34,1610,0,,NZL,Flynn,Goodger,NZL,Tiaan,McKinnel,,,,,,,,,
17,men,open,23:31:58,4630,0,,NZL,Greig,Hamilton,NZL,Chris,Forne,,,,,,,,,
18,men,open,20:02:33,1830,0,,NZL,Tom,Higgins,NZL,Ethan,Bloemen,,,,,,,,,
