id,name,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
1,Nav Riska! (JC),men,junior,23:15:30,171,0,finished,LAT,Jēkabs,Lācis,LAT,Nauris,Brikmanis,,,,,,
511,Baldones Pokemoni,mixed,open,14:53:19,162,0,finished,LAT,Ivars,Freibergs,LAT,Santa,Freiberga,,,,,,
2,Es nezinu! (JC),men,junior,22:38:37,155,0,finished,LAT,Armands,Timuks,LAT,Rodrigo,Grasis,,,,,,
3302,FONONS,mixed,ultraveteran,23:37:58,148,0,finished,LAT,Andra,Melbarde,LAT,Juris,Zvirgzds,,,,,,
303,SPI,men,open,21:44:08,110,0,finished,LAT,Emīls,Stūrītis,LAT,Sandis,Mālnieks,,,,,,
407,Rs odziņas,women,open,9:20:07,65,0,finished,LAT,Audrone,Stanka,LAT,Daiga,Šlesere,,,,,,
507,Legs Miserables,mixed,open,6:56:03,0,0,withdrawn,LAT,Ieva,Grīniece,LAT,Toms,Biders,,,,,,
513,Nebūs!,mixed,open,14:33:47,0,0,withdrawn,LAT,Dagnija,Tērauda,LAT,Jānis,Sapats,,,,,,
309,Resnie putni,men,open,15:21:20,0,0,withdrawn,LAT,Madars,Bandenovičs,LAT,Sondars,Bandenovičs,,,,,,
805,Purva bridēji,mixed,veteran,15:49:45,0,0,withdrawn,LAT,Baiba,Nummure,LAT,Nauris,Čablis,,,,,,
504,Jaunystė,mixed,open,18:49:20,0,0,withdrawn,LTU,Kęstutis,Vaičius,LTU,Reda,Einikytė,LTU,Romas,Čeplinskas,,,
803,Āpsis ar ventilatoru,mixed,veteran,19:22:49,0,0,withdrawn,LAT,Aija,Bartuševica,LAT,Oskars,Bartuševics,,,,,,
316,Pārgājiens (Ā.K.),men,open,0:00:00,0,0,not started,LAT,Valters,Alliks,LAT,Valters,Alliks,,,,,,
603,Bez variantiem,men,veteran,0:00:00,0,0,not started,LAT,Ēriks,Melkurts,LAT,Ģirts,Sarma,,,,,,
705,"Kas meklē, tas atrod!",women,veteran,0:00:00,0,0,not started,LAT,Kristīna,Ēce,LAT,Zita,Grante,,,,,,
902,ALUSALA,men,superveteran,0:00:00,0,0,not started,LAT,Arvis,Zvanītājs,LAT,Austris,Lepiksons,,,,,,
